StepTimes10,Avg,Stdev,Stderr
0,-115.291365994,15.1469697764,3.02939395529
1,-129.157785588,16.5051265378,3.30102530757
2,-132.638293755,15.3071629323,3.06143258646
3,-141.818547864,18.8354832196,3.76709664392
4,-134.441588612,17.8029364405,3.5605872881
5,-133.717530366,17.9336547477,3.58673094954
6,-136.930183078,12.3515714342,2.47031428684
7,-134.555764935,17.9814377921,3.59628755843
8,-134.292766248,16.4158764499,3.28317528998
9,-135.860501321,12.8983198826,2.57966397652
10,-137.383865884,15.9547304169,3.19094608339
11,-136.570472214,17.938069389,3.5876138778
12,-137.507129301,16.7621538595,3.35243077191
13,-140.669547811,13.4386047241,2.68772094481
14,-136.40183697,18.3618190898,3.67236381796
15,-131.961371877,18.222348001,3.6444696002
16,-136.597488715,15.7823960253,3.15647920505
17,-135.520593822,15.5817585119,3.11635170237
18,-138.546257542,16.4689645395,3.2937929079
19,-141.054864553,12.9994456241,2.59988912482
20,-133.870096598,17.1701666691,3.43403333383
21,-135.607377416,19.5586947594,3.91173895189
22,-138.069156455,15.8313047828,3.16626095655
23,-137.485654048,15.7928081029,3.15856162058
24,-139.021929447,18.6936566369,3.73873132738
25,-134.601487259,17.3516985062,3.47033970125
26,-134.859209333,14.8975523905,2.97951047811
27,-136.852872068,16.4807993324,3.29615986647
28,-133.056647993,14.4737799773,2.89475599545
29,-135.317407607,19.4427157325,3.88854314649
30,-141.158129444,19.1258514814,3.82517029629
31,-133.530383509,21.4423006089,4.28846012178
32,-136.77677913,17.9882182624,3.59764365248
33,-137.055554557,18.3885785201,3.67771570402
34,-138.210761236,18.3035084965,3.6607016993
35,-136.06970689,15.4244830041,3.08489660082
36,-139.29217702,13.4509248757,2.69018497515
37,-140.357279752,13.7295878618,2.74591757235
38,-140.736682258,17.3317658744,3.46635317489
39,-141.820026286,16.8241607257,3.36483214514
40,-140.359632828,13.3560097401,2.67120194801
41,-142.219010143,15.9318321103,3.18636642206
42,-138.413877539,16.3739710637,3.27479421273
43,-139.123424937,16.2152315436,3.24304630872
44,-137.671707581,17.6361373773,3.52722747546
45,-134.997326889,20.0262875202,4.00525750404
46,-133.811819825,20.7840264705,4.15680529409
47,-134.841085627,18.0888416686,3.61776833373
48,-134.741216913,15.4432388566,3.08864777132
49,-134.658999499,17.5444300494,3.50888600987
50,-131.73984355,22.6583363246,4.53166726493
51,-135.551473575,19.964912033,3.9929824066
52,-131.862644447,24.6431430833,4.92862861665
53,-132.663897477,21.5346468221,4.30692936441
54,-132.882773282,20.6245270385,4.12490540769
55,-131.05737643,17.8840156514,3.57680313027
56,-130.199398283,25.0733784199,5.01467568398
57,-133.167606816,22.6219379304,4.52438758608
58,-134.231370776,21.3840779806,4.27681559611
59,-133.827168388,21.9688722013,4.39377444026
60,-132.502030432,24.4309803036,4.88619606071
61,-134.713396045,23.0545744137,4.61091488275
62,-131.825479726,19.1392744507,3.82785489013
63,-133.960642852,17.0422411051,3.40844822102
64,-136.291287423,17.1263777583,3.42527555166
65,-136.309445647,16.0828693487,3.21657386975
66,-134.716712324,18.6242486954,3.72484973907
67,-136.714580313,13.6936162907,2.73872325813
68,-135.181474664,18.3646988771,3.67293977541
69,-133.397667965,16.4712508324,3.29425016648
70,-133.768922927,18.4940323925,3.6988064785
71,-133.501611694,23.5839609737,4.71679219474
72,-136.268073791,20.5008789398,4.10017578795
73,-131.401565574,17.962366378,3.59247327561
74,-134.566830325,20.850356219,4.1700712438
75,-134.583824812,16.4410606385,3.2882121277
76,-136.350885593,15.3742197614,3.07484395227
77,-137.024279385,15.3457753724,3.06915507448
78,-138.953196312,12.1179453031,2.42358906063
79,-134.311664545,19.8845051144,3.97690102287
80,-135.10886872,21.3142655187,4.26285310373
81,-131.541587003,19.0081405763,3.80162811526
82,-132.788574724,25.7588875011,5.15177750021
83,-132.194074735,18.3140731852,3.66281463704
84,-132.933123722,18.8990794041,3.77981588081
85,-135.935493812,16.855333457,3.37106669139
86,-132.272584819,14.3719960118,2.87439920236
87,-132.425157417,18.1693483414,3.63386966827
88,-136.769854406,13.7333974389,2.74667948779
89,-134.63876271,17.5524116647,3.51048233294
90,-131.137342046,21.1050678955,4.2210135791
91,-136.377280214,17.9793964006,3.59587928013
92,-132.593524567,22.7578741513,4.55157483026
93,-131.266666749,25.0664494138,5.01328988276
94,-129.028020321,24.0106457882,4.80212915764
95,-132.042299711,23.9014613551,4.78029227103
96,-132.068743319,21.4297067479,4.28594134957
97,-128.78632822,25.4809857131,5.09619714261
98,-130.207111498,24.9584961505,4.99169923009
99,-130.703842778,25.9494905688,5.18989811376
